unitid,instnm,year,base_level,degree_level
486840,Kennesaw State University,2017,other,2-year
486901,Milligan College,2017,other,2-year
487162,Southern Regional Technical College,2017,other,4-year
487320,Texas State Technical College,2017,other,4-year
487524,Husson University,2017,other,2-year
101073,Concordia College Alabama,2018,2-year,other
101499,Jefferson Davis Community College,2018,4-year,other
101949,Alabama Southern Community College,2018,4-year,other
138789,Armstrong State University,2018,2-year,other
139010,Bainbridge State College,2018,4-year,other
146393,Kendall College,2018,2-year,other
177579,Hickey College,2018,2-year,other
209108,Marylhurst University,2018,2-year,other
215099,Jefferson (Philadelphia University + Thomas Jefferson University),2018,2-year,other
230931,Lyndon State College,2018,2-year,other
260293,Everest University-Brandon,2018,2-year,other
390701,Everest University-South Orlando,2018,2-year,other
432241,University of Phoenix-Oregon,2018,2-year,other
439297,University of Phoenix-Ohio,2018,2-year,other
440466,University of Phoenix-Idaho,2018,2-year,other
486840,Kennesaw State University,2018,other,2-year
486901,Milligan College,2018,other,2-year
487162,Southern Regional Technical College,2018,other,4-year
487320,Texas State Technical College,2018,other,4-year
487524,Husson University,2018,other,2-year
486840,Kennesaw State University,2019,other,2-year
486901,Milligan University,2019,other,2-year
487162,Southern Regional Technical College,2019,other,4-year
487320,Texas State Technical College,2019,other,4-year
487524,Husson University,2019,other,2-year
486840,Kennesaw State University,2020,other,2-year
486901,Milligan University,2020,other,2-year
487162,Southern Regional Technical College,2020,other,4-year
487320,Texas State Technical College,2020,other,4-year
487524,Husson University,2020,other,2-year
486840,Kennesaw State University,2021,other,2-year
486901,Milligan University,2021,other,2-year
487162,Southern Regional Technical College,2021,other,4-year
487320,Texas State Technical College,2021,other,4-year
487524,Husson University,2021,other,2-year
486840,Kennesaw State University,2022,other,2-year
486901,Milligan University,2022,other,2-year
487162,Southern Regional Technical College,2022,other,4-year
487320,Texas State Technical College,2022,other,4-year
487524,Husson University,2022,other,2-year
486840,Kennesaw State University,2023,other,2-year
486901,Milligan University,2023,other,2-year
487162,Southern Regional Technical College,2023,other,4-year
487320,Texas State Technical College,2023,other,4-year
487524,Husson University,2023,other,2-year
