unitid,instnm,stabbr,sector,dea_tier,ml_rf_tier,ml_xgb_tier,avg_efficiency_score,dea_bcc_score,dea_ccr_score,rf_pred,xgb_pred,tier_gap_rf,tier_gap_xgb,pell_pct,instr_exp_per_fte,stud_fac_ratio,grad_rate_150_4yr
101912,Oakwood University,AL,2,Low-Efficiency,High-Efficiency,High-Efficiency,0.7654079661591628,0.753573126295891,0.5435655365756584,0.8705497706743798,0.88560426,2,2,0.46,6032.411675126904,19.7,0.4890710382513661
102298,Talladega College,AL,2,High-Efficiency,Low-Efficiency,Low-Efficiency,0.883272253224339,0.8368557594085171,0.8138790177029535,0.7355384048505401,0.7491693500000001,2,2,0.71,2454.008583690987,36.78947368421053,0.6496815286624203
119605,National University,CA,2,High-Efficiency,Low-Efficiency,Mid-Efficiency,0.9996948271236876,1.0,1.0,0.7734327440815654,0.83647484,2,1,0.27,2279.073159381752,126.9409282700422,0.5
144351,Concordia University-Chicago,IL,2,High-Efficiency,Low-Efficiency,High-Efficiency,0.938749885452894,0.9097139392769388,0.9074515047548176,0.8129273317054952,0.8611922,2,0,0.56,2978.0996563573885,30.51685393258427,0.4740061162079511
164492,Anna Maria College,MA,2,High-Efficiency,Low-Efficiency,Low-Efficiency,0.8866846002203758,0.8315060396089357,0.8294618481509138,0.7963534985085208,0.7993771700000001,2,2,0.47,4958.38984941439,40.75,0.4044117647058824
170967,Rochester University,MI,2,Low-Efficiency,High-Efficiency,High-Efficiency,0.7415125349692978,0.6347348810693736,0.5907169312503758,0.8713062929253689,0.88280636,2,2,0.47,4885.414327917282,33.85,0.4140127388535032
175078,Southwest Minnesota State University,MN,1,High-Efficiency,Low-Efficiency,High-Efficiency,0.9743334533916436,0.9635781496655011,0.9603372252257774,0.8114073246405591,0.8693188,2,0,0.32,2349.8301245753114,88.3,0.4407294832826747
176035,Mississippi University for Women,MS,1,High-Efficiency,Low-Efficiency,Low-Efficiency,0.8868253817367923,0.833541377290857,0.8278487056210497,0.7716787635805369,0.755693,2,2,0.59,5044.731537793224,24.48936170212766,0.3778801843317972
181853,York College,NE,2,Low-Efficiency,High-Efficiency,High-Efficiency,0.7859176120758561,0.6833334326545845,0.6753332243311241,0.8590319961137535,0.8777796,2,2,0.46,4279.927694406549,29.32,0.3740458015267176
183257,Granite State College,NH,1,High-Efficiency,Low-Efficiency,High-Efficiency,0.9996964193351036,1.0,1.0,0.8147087511465932,0.86826473,2,0,0.64,1293.4000676361177,147.85,0.1428571428571428
200800,University of Akron Main Campus,OH,1,Low-Efficiency,High-Efficiency,High-Efficiency,0.7876021528022743,0.7652794488357824,0.5984409885825649,0.890954893511624,0.9149659,2,2,0.35,7841.412793979304,33.69255150554675,0.4817583732057416
201964,Ohio Christian University,OH,2,High-Efficiency,Low-Efficiency,Mid-Efficiency,0.9536099479306448,1.0,0.8617444614769686,0.8157796961909284,0.83902813,2,1,0.48,1958.4721337579613,29.55294117647059,0.3571428571428571
230889,Goddard College,VT,2,High-Efficiency,Low-Efficiency,Low-Efficiency,0.9996949831760604,1.0,1.0,0.7925978252862429,0.79944795,2,2,0.17,6811.142566191446,49.1,0.75
206817,Bacone College,OK,2,High-Efficiency,Low-Efficiency,Low-Efficiency,0.9213716594035668,0.9502366632298204,0.8147790560698752,0.7836984158580764,0.784466715,2,2,0.61,2003.890374331551,26.714285714285715,0.0238805970149253
224004,Concordia University Texas,TX,2,Low-Efficiency,High-Efficiency,High-Efficiency,0.7738856961463796,0.6648099718931401,0.6577616582269005,0.8926223228900405,0.86763465,2,2,0.51,3854.848353239233,51.16666666666666,0.4051094890510949
230366,Eagle Gate College-Murray,UT,3,Low-Efficiency,High-Efficiency,High-Efficiency,0.7686954507751329,0.7042660447169424,0.6027373154644047,0.862678118552908,0.8634243,2,2,0.83,2601.511930585684,57.625,0.5277777777777778
363916,Caribbean University-Vega Baja,PR,2,Low-Efficiency,High-Efficiency,Mid-Efficiency,0.7877320603511421,0.689615675412981,0.6744993363129488,0.8844904485183632,0.85460165,2,1,0.9,1474.904,822.6206185567032,0.625
244233,City College-Fort Lauderdale,FL,2,High-Efficiency,Low-Efficiency,Low-Efficiency,0.9326041864638892,1.0,0.7987323014109403,0.7682355113894468,0.753543165,2,2,0.8,2046.5674044265595,99.4,0.8333333333333334
195544,St. Joseph's University-New York,NY,2,Low-Efficiency,Mid-Efficiency,High-Efficiency,0.7810708178948714,0.6809993136828782,0.6631289181917095,0.8408986731654262,0.865991485,1,2,0.38,7066.442239546421,35.721518987341774,0.6420863309352518
233277,Radford University,VA,1,High-Efficiency,Mid-Efficiency,Low-Efficiency,0.8894434343029031,0.8371098907549411,0.8321347697797946,0.8187112652760917,0.80559826,1,2,0.4,7475.061357412479,27.629856850715747,0.496199782844734
