model,outcome,split,n,r2,rmse,mae,mape
random_forest,grad_rate_150_4yr,val,1602,0.8144,0.0823,0.0591,16.7
random_forest,grad_rate_150_4yr,test,1602,0.8064,0.0842,0.0595,15.79
xgboost,grad_rate_150_4yr,val,1602,0.8156,0.082,0.0597,16.14
xgboost,grad_rate_150_4yr,test,1602,0.8097,0.0835,0.0594,15.23
elastic_net,grad_rate_150_4yr,val,1602,0.6314,0.1159,0.0884,25.58
elastic_net,grad_rate_150_4yr,test,1602,0.6352,0.1156,0.0872,22.88
random_forest,median_earnings_6yr,val,683,0.739,6039.3391,4026.5214,9.38
random_forest,median_earnings_6yr,test,683,0.74,6004.3889,4002.8,9.58
xgboost,median_earnings_6yr,val,683,0.7515,5892.045,4005.28,9.32
xgboost,median_earnings_6yr,test,683,0.7615,5750.6247,3908.4142,9.31
elastic_net,median_earnings_6yr,val,683,0.6804,6682.3723,4827.4385,11.59
elastic_net,median_earnings_6yr,test,683,0.6602,6864.1293,4868.6972,11.73
random_forest,loan_repayment_3yr,val,323,0.735,0.0922,0.068,16.73
random_forest,loan_repayment_3yr,test,323,0.7493,0.0904,0.0722,16.58
xgboost,loan_repayment_3yr,val,323,0.7527,0.089,0.066,15.76
xgboost,loan_repayment_3yr,test,323,0.743,0.0915,0.0738,16.65
elastic_net,loan_repayment_3yr,val,323,0.668,0.1031,0.0771,19.13
elastic_net,loan_repayment_3yr,test,323,0.7229,0.0951,0.0761,17.93
random_forest,avg_efficiency_score,val,2105,0.7168,0.0496,0.0365,4.45
random_forest,avg_efficiency_score,test,2105,0.7329,0.0499,0.0366,4.48
xgboost,avg_efficiency_score,val,2105,0.7348,0.048,0.0361,4.38
xgboost,avg_efficiency_score,test,2105,0.7584,0.0475,0.0358,4.37
elastic_net,avg_efficiency_score,val,2105,0.3957,0.0725,0.0568,6.91
elastic_net,avg_efficiency_score,test,2105,0.4346,0.0727,0.0571,6.96
