feature,shap_mean_abs,perm_importance
pell_pct,0.06192653594776608,0.38210626373274537
selectivity_composite,0.027720225363246136,0.09878236167454224
sal_instr_avg_9mo,0.017713207442013976,0.03487138381390394
total_sal_per_fte,0.013044058551539346,0.027292403658638865
outcome_lag,0.0068268792602814736,0.006414643075902893
faculty_fte,0.005738388765552979,0.009666014926934996
stud_serv_exp_per_fte,0.0040089152928495485,0.003773342163518212
stud_fac_ratio,0.003496936858405326,0.004128294309637759
instr_exp_per_fte,0.0031287702822018664,0.0031886422500148172
student_support_intensity,0.002907530579286397,0.0024242539849316236
sector,0.0015430154714259803,0.0011063923312048863
sal_noninstr_avg,0.0,0.0
total_fte,0.0,0.0
total_enrollment_ipeds,0.0,0.0
total_exp,0.0,0.0
total_completions,0.0,0.0
resource_concentration_idx,0.0,0.0
financial_health_idx,0.0,0.0
